objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
588848899934126391,756,44,3,756,311,6,229.01355724,-0.10862498,21.924782,20.760136,20.434853,20.331133,20.306004,0.146138,0.025377,0.027395,0.036092,0.130319
588848899934128873,756,44,3,756,2793,6,229.01225778,-0.10639633,22.654366,21.363031,21.140282,21.005909,21.113327,0.268497,0.039587,0.047871,0.063357,0.257287
588848899934126376,756,44,3,756,296,6,229.01241894,-0.1101045,21.087069,19.882877,19.303696,19.09959,19.023293,0.07694,0.014452,0.012605,0.01468,0.045679
588848899934126378,756,44,3,756,298,6,229.00901243,-0.10852281,21.453133,19.959274,19.409565,19.317123,19.531706,0.116563,0.016349,0.014762,0.019424,0.081684
588848899934127869,756,44,3,756,1789,6,229.01217577,-0.10374246,23.078615,21.782852,21.411413,21.291723,21.819368,0.391782,0.057197,0.06245,0.084761,0.466536
588848899934127871,756,44,3,756,1791,6,229.01145929,-0.10446356,23.363958,22.116795,21.752716,21.633825,20.175261,0.475009,0.073431,0.08145,0.110952,0.120381
588848899934126374,756,44,3,756,294,6,229.02002853,-0.10767717,19.86772,18.400761,17.756386,17.485035,17.364006,0.03199,6.660815E-3,5.727568E-3,6.092031E-3,0.013778
588848899934126388,756,44,3,756,308,6,229.01510956,-0.11288265,21.517828,20.487232,20.143755,19.982004,20.042679,0.123784,0.023832,0.025499,0.032697,0.128198
588848899934126393,756,44,3,756,313,3,229.00559263,-0.10857114,20.843061,17.757212,17.620871,17.357943,16.654881,0.442882,0.02833,0.029942,0.028761,0.06398
588848899934127237,756,44,3,756,1157,6,229.00785889,-0.10282127,23.620712,22.119698,21.890583,21.904715,22.602554,0.56667,0.073813,0.094329,0.143901,0.629222
588848899934127865,756,44,3,756,1785,6,229.01414085,-0.10369976,25.62076,21.484863,19.961866,18.782894,18.166798,0.548117,0.043419,0.019337,0.011811,0.023392
588848899934127867,756,44,3,756,1787,6,229.01310659,-0.10204703,22.480263,21.324842,21.019375,20.825935,20.939354,0.233713,0.038518,0.043386,0.054274,0.223895
588848899934127868,756,44,3,756,1788,6,229.0131043,-0.10092624,22.382147,21.567543,21.216133,21.277319,20.887678,0.216423,0.046467,0.050998,0.080024,0.213061
588848899934128174,756,44,3,756,2094,6,229.01695744,-0.10475327,22.44339,21.41164,21.119024,21.045391,21.072023,0.230898,0.041785,0.0479,0.066804,0.2562
588848899934126369,756,44,3,756,289,6,229.00463358,-0.10731149,15.459674,15.37091,14.757976,14.809492,13.164833,4.891993E-3,0.01318,0.01079,0.01148,4.723195E-3
588848899934126380,756,44,3,756,300,3,229.00851061,-0.1169983,21.124979,19.951923,19.565331,19.43133,19.535667,0.090148,0.016567,0.016633,0.021083,0.082549
588848899934126539,756,44,3,756,459,6,229.01668494,-0.11684999,21.827028,21.007456,20.725836,20.759344,20.658655,0.136755,0.030426,0.034588,0.052078,0.179174
588848899934126540,756,44,3,756,460,6,229.01754997,-0.11558825,22.091452,21.147118,20.833776,20.679344,20.729439,0.169638,0.033849,0.037642,0.048593,0.190623
