MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Cl* NGC  188    FTS       5	*inCl	00 44 52.370	+85 14 05.67	10	10	107	-5.03	-0.67	13.59	12.29	11.592	10.098	9.461	9.304	K2III	 	 	 	27
Cl* NGC  188    FTS       1	*inCl	00 47 56.955	+85 14 55.99	10	10	102	-5.74	-0.93	13.07	11.93	11.307	9.966	9.398	9.26	G8IIIb	 	 	 	23
Cl* NGC  188    FTS       6	*inCl	00 46 59.571	+85 13 15.77	10	10	0	-5.49	-0.06	13.49	12.31	11.722	10.349	9.789	9.639	K0III-IV	 	 	 	21
Cl* NGC  188    FTS       7	*inCl	00 45 51.061	+85 18 08.28	10	10	0	-5.08	-1.06	13.79	12.48	11.706	10.208	9.549	9.429	 	 	 	 	20
Cl* NGC  188    FTS      29	*inCl	00 45 22.477	+85 12 38.28	10	10	75	-5.54	-0.57	14.79	13.84	13.355	12.167	11.676	11.551	 	 	 	 	19
Cl* NGC  188    FTS      20	*inCl	00 45 36.815	+85 15 08.57	10	10	0	-7.28	1.15	14.73	13.59	13.032	11.709	11.149	11.024	 	 	 	 	17
Cl* NGC  188    FTS      25	*inCl	00 46 33.623	+85 14 34.32	10	10	98	-5.98	-0.63	14.98	13.88	13.262	12.005	11.468	11.321	 	 	 	 	17
Cl* NGC  188     JA     812	*inCl	00 47 59.223	+85 11 32.25	106.2	100.9	0	-3.34	-2.17	13.426	12.126	11.411	 	 	 	K1III	 	 	 	17
BD+84    12	*inCl	00 42 43.41359	+85 14 14.1527	9.84498	9.2286	90	44.14	2.21	10.05	9.55	 	8.611	8.457	8.39	F5	 	 	 	16
Cl* NGC  188     JA    1090	*inCl	00 46 19.656	+85 20 08.66	10	10	100	-5.53	-0.27	13.67	12.46	11.786	10.385	9.816	9.674	 	 	 	 	16
Cl* NGC  188    FTS      11	*inCl	00 47 18.356	+85 19 45.73	10	10	72	-5.71	-0.95	14.21	12.99	12.329	10.908	10.289	10.187	 	 	 	 	16
Cl* NGC  188    FTS     130	*inCl	00 44 45.036	+85 13 30.27	10	10	84	-5.59	-0.33	15.76	15.09	14.68	13.821	13.513	13.435	 	 	 	 	15
Cl* NGC  188    FTS      35	*inCl	00 45 49.401	+85 14 03.80	10	10	0	-5.59	-0.47	15.2	14.1	13.575	12.283	11.786	11.698	 	 	 	 	15
Cl* NGC  188    FTS     133	*inCl	00 47 17.779	+85 15 12.47	10	10	85	-5.82	-0.55	15.68	14.99	14.686	13.865	13.553	13.533	 	 	 	 	15
Cl* NGC  188    FTS      86	*inCl	00 43 52.760	+85 18 35.19	10	10	84	-5.17	0.39	15.68	14.93	14.477	13.628	13.256	13.193	 	 	 	 	15
Cl* NGC  188    FTS     137	*inCl	00 47 19.484	+85 13 19.61	10	10	0	-5.24	-0.21	15.68	15	14.705	13.913	13.576	13.445	 	 	 	 	15
Cl* NGC  188    FTS      54	*inCl	00 47 44.863	+85 14 21.19	10	10	0	-5.75	-0.94	15.61	14.57	14.064	12.851	12.35	12.279	 	 	 	 	15
Cl* NGC  188    FTS     571	*inCl	00 44 12.250	+85 09 31.34	10	10	87	-6.55	-0.67	12.94	11.37	10.471	8.58	7.892	7.652	K4III	 	 	 	14
V* V768 Cep	*inCl	00 44 40.457	+85 15 21.31	10	10	0	-5.64	-0.64	15.743	14.975	14.519	13.545	13.172	13.116	 	 	 	 	14
Cl* NGC  188    FTS     101	*inCl	00 47 43.187	+85 12 27.56	10	10	0	-5.35	-0.38	15.67	14.94	14.507	13.625	13.273	13.217	 	 	 	 	14
Cl* NGC  188    FTS      40	*inCl	00 47 03.735	+85 15 27.63	10	10	0	-7.08	-0.08	15.16	14.28	13.745	12.663	12.195	12.11	 	 	 	 	14
