00 00 12  +60 58 00 
00 00 21  +50 44 30 
00 01 37  +64 37 30 
00 02 14  +67 25 00 
00 03 30  +63 35 00 
00 04 07  -29 50 00 
00 04 41  +56 05 00 
00 05 17  -20 41 30 
00 07 38  +61 28 30 
00 09 23  +58 39 57 
00 09 36  +60 28 30 
00 09 36  +62 40 48 
00 10 06  +61 10 00 
00 16 20  +59 57 43 
00 17 42  +60 56 00 
00 19 52  +55 42 36 
00 21 54  +61 45 00 
00 22 04  +64 22 50 
00 25 15  +62 37 00 
00 25 16  +61 19 24 
00 25 18  +60 24 00 
00 27 25  +71 23 00 
00 30 00  +60 13 06 
00 30 25  +57 55 25 
00 31 09  +55 16 48 
00 31 19  +63 21 00 
00 31 31  +61 30 36 
00 32 03  +63 09 20 
00 32 54  +61 52 00 
00 32 58  +63 20 03 
00 33 10  +65 07 00 
00 39 35  +61 05 42 
00 39 42  +61 57 00 
00 42 35  +64 04 05 
00 43 39  +61 46 30 
00 43 42  +60 09 00 
00 43 45  +64 11 08 
00 45 01  +64 23 05 
00 47 28  +85 15 18 
00 48 30  +67 12 00 
00 49 42  +64 07 35 
00 51 00  +58 11 00 
00 52 49  +56 37 42 
00 53 10  +61 34 48 
00 53 27  +49 34 00 
00 57 58  +55 50 24 
00 58 29  +68 28 08 
01 01 00  +63 57 00 
01 03 06  +62 47 00 
01 05 11  +62 01 18 
01 06 26  +62 13 48 
01 08 07  +65 38 50 
01 08 19  +61 35 00 
01 12 18  +62 20 00 
01 13 50  +32 01 42 
01 15 11  +60 07 36 
01 15 58  +58 48 42 
01 19 35  +58 17 12 
01 29 35  +63 18 14 
01 33 23  +60 39 00 
01 35 36  +61 28 35 
01 35 42  +61 17 00 
01 36 23  +64 32 18 
01 43 04  +64 02 24 
01 43 21  +55 50 11 
01 44 00  +61 53 06 
01 44 24  +60 40 24 
01 45 45  +71 48 36 
01 46 09  +61 14 06 
01 47 13  +57 43 48 
01 47 48  +62 56 00 
01 51 12  +61 05 00 
01 52 30  +61 50 00 
01 52 48  +57 04 00 
01 53 43  -45 57 12 
01 54 12  +62 22 00 
01 55 06  +61 20 00 
01 57 41  +37 47 06 
01 58 33  +55 28 24 
01 58 37  +60 09 18 
01 58 55  +58 58 12 
02 01 06  +75 29 00 
02 02 00  +62 50 00 
02 03 01  +62 14 48 
02 04 30  +64 26 00 
02 07 23  +60 15 25 
02 14 43  +59 29 06 
02 19 00  +57 07 42 
02 19 28  +58 18 00 
02 19 36  +63 43 00 
02 20 49  +59 36 36 
02 21 06  +65 54 00 
02 22 23  +57 07 33 
02 23 42  +63 52 00 
02 29 08  +62 06 19 
02 29 10  +61 47 42 
02 29 40  +60 42 24 
02 32 15  +44 38 48 
02 32 42  +61 27 00 
02 33 00  +58 44 00 
02 33 21  +57 33 36 
02 33 32  +59 53 12 
02 33 54  +60 10 00 
02 35 42  +59 00 00 
02 36 35  +59 38 00 
02 36 53  +55 54 54 
02 39 00  +60 25 00 
02 39 12  +54 55 00 
02 42 05  +42 45 42 
02 42 43  +61 38 01 
02 44 42  +62 21 00 
02 46 55  +57 43 48 
02 47 42  +61 58 29 
02 51 12  +60 26 00 
02 59 23  +60 34 00 
03 04 18  +58 46 00 
03 05 56  +44 23 00 
03 10 49  -57 46 00 
03 11 40  +53 20 42 
03 11 48  +63 15 00 
03 14 42  +47 14 12 
03 14 45  +52 41 12 
03 16 11  +60 06 56 
03 16 54  +58 36 00 
03 21 42  -36 18 00 
03 23 12  +52 15 00 
03 24 19  +49 51 42 
03 27 27  +34 57 12 
03 27 50  +56 23 59 
03 30 48  +52 39 00 
03 31 38  +37 22 36 
03 32 17  +44 50 24 
03 32 37  +52 39 04 
03 34 06  +51 24 30 
03 39 32  +66 29 09 
03 44 26  +29 40 00 
03 44 34  +32 09 48 
03 47 00  +24 07 00 
03 47 18  +53 54 35 
03 47 48  +59 03 00 
03 49 25  +52 39 30 
03 52 24  +61 57 00 
03 55 21  +58 23 30 
03 57 51  -76 47 42 
03 59 00  +51 48 00 
03 59 18  +57 14 14 
04 00 18  -12 00 54 
04 04 32  +52 39 42 
04 06 43  +27 32 34 
04 07 50  +62 19 54 
04 09 57  +49 30 54 
04 13 11  -70 28 18 
04 15 23  +51 12 54 
04 18 36  +52 51 30 
04 19 00  +58 18 00 
04 19 45  +53 10 00 
04 20 36  +44 55 00 
04 20 57  +50 15 12 
04 21 20  +36 55 00 
04 24 13  +29 42 14 
04 26 54  +15 52 00 
04 28 00  +30 56 00 
04 31 39  +43 44 36 
04 34 53  +45 16 12 
04 35 32  -65 45 00 
04 38 06  +50 45 00 
04 40 36  +50 27 42 
04 41 37  +71 14 12 
04 44 30  +42 04 00 
04 44 36  +42 41 00 
04 45 55  +19 06 54 
04 46 02  +55 12 24 
04 46 30  +44 44 00 
04 48 27  +10 56 12 
04 48 58  +13 08 54 
04 49 55  +41 43 48 
04 50 04  -25 57 24 
04 51 06  +43 40 30 
04 55 43  +36 46 55 
04 55 52  +52 48 00 
04 57 09  +28 46 47 
04 58 14  +43 00 48 
04 58 35  -68 50 40 
05 00 12  +43 28 00 
05 02 05  +44 30 00 
05 03 27  +52 50 00 
05 03 50  +23 46 12 
05 03 55  +23 39 30 
05 04 35  +23 47 54 
05 06 20  +39 09 50 
05 06 35  +34 51 24 
05 07 14  +30 50 34 
05 07 22  +22 16 42 
05 08 04  +37 01 24 
05 08 25  +39 05 04 
05 10 01  +38 49 14 
05 10 14  +24 06 30 
05 11 02  +52 07 06 
05 11 39  +47 41 30 
05 12 15  +16 41 24 
05 12 39  +73 58 29 
05 13 19  +44 34 48 
05 14 44  +32 41 19 
05 16 00  -45 14 12 
05 18 10  +33 22 25 
05 18 11  -68 27 00 
05 18 36  +37 37 30 
05 20 06  +39 20 36 
05 20 11  -26 02 54 
05 20 31  +35 13 12 
05 20 32  +39 32 50 
05 20 36  +30 36 00 
05 22 12  +45 24 00 
05 22 37  +36 33 00 
05 22 44  +33 24 42 
05 22 53  +41 04 51 
05 23 21  +33 30 29 
05 23 42  +08 11 00 
05 23 54  +11 28 00 
05 24 06  +29 36 00 
05 24 36  +01 48 00 
05 24 36  +32 39 00 
05 25 12  +30 10 12 
05 25 42  +29 19 42 
05 25 42  +41 54 00 
05 25 54  +46 29 24 
05 26 06  +16 42 01 
05 26 10  +00 49 12 
05 26 41  +36 00 49 
05 27 11  +06 16 00 
05 27 24  +07 04 00 
05 27 47  -01 58 48 
05 27 49  +33 47 36 
05 28 01  +40 22 18 
05 28 05  +35 19 30 
05 28 07  +34 25 24 
05 28 21  +34 46 30 
05 28 40  +35 50 54 
05 28 44  +01 37 48 
05 28 59  +03 39 00 
05 30 18  +38 13 51 
05 31 25  +34 14 42 
05 32 37  +00 11 18 
05 33 42  +26 29 00 
05 35 06  +09 56 00 
05 35 09  -04 25 54 
05 35 16  -04 49 12 
05 35 16  -05 23 24 
05 35 24  -05 54 54 
05 35 30  -01 06 00 
05 35 54  +25 57 00 
05 36 18  +34 08 24 
05 36 51  +31 12 39 
05 38 10  +25 49 00 
05 38 42  -02 36 00 
05 39 00  +37 56 00 
05 39 17  -17 50 48 
05 39 29  +33 20 46 
05 39 30  +33 21 00 
05 40 55  +32 16 40 
05 41 22  +39 14 24 
05 42 46  +30 57 33 
05 43 12  +20 08 00 
05 43 52  +21 42 37 
05 44 01  +55 47 36 
05 44 06  -33 56 06 
05 44 22  +28 49 13 
05 47 29  +35 25 56 
05 48 30  +30 13 00 
05 48 40  +07 21 30 
05 49 24  +33 38 00 
05 50 04  +28 53 41 
05 50 18  +22 12 00 
05 51 42  +21 47 00 
05 52 05  +27 23 30 
05 52 15  +29 55 09 
05 52 18  +32 33 12 
05 53 45  +00 24 36 
05 53 52  +26 49 47 
05 55 09  -59 54 37 
05 55 25  +20 53 11 
05 58 12  +21 58 00 
05 58 27  +07 45 24 
06 00 56  +35 16 36 
06 01 07  +23 19 20 
